Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2025-07-13 20:18:58,2025-07-14 11:58:22,Shop,-13.27,0.00,EUR,COMPLETED,19.79
CARD_PAYMENT,Current,2025-07-14 20:02:00,2025-07-14 20:02:01,Texts,-4.59,0.00,EUR,COMPLETED,15.20
CARD_PAYMENT,Current,2025-07-15 05:03:39,2025-07-15 14:30:20,Discord,-9.99,0.00,EUR,COMPLETED,5.21
CARD_PAYMENT,Current,2025-07-16 21:01:03,2025-07-17 02:54:27,Texts,-4.65,0.00,EUR,COMPLETED,0.56
TOPUP,Current,2025-07-18 05:26:39,2025-07-18 05:26:40,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,20.56
TOPUP,Current,2025-07-20 03:43:20,2025-07-20 03:43:22,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,20.56
TOPUP,Current,2025-07-20 03:43:50,2025-07-20 03:43:51,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,70.56
TOPUP,Current,2025-07-20 03:44:03,2025-07-20 03:44:12,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,120.56
TOPUP,Current,2025-07-20 03:44:25,2025-07-20 03:44:27,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,170.56
TOPUP,Current,2025-07-20 03:44:38,2025-07-20 03:44:41,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,220.56
CARD_PAYMENT,Current,2025-07-22 03:45:35,2025-07-22 15:53:12,itch.io,-105.48,0.00,EUR,COMPLETED,115.08
CARD_PAYMENT,Current,2025-07-22 05:12:18,2025-07-22 15:53:20,Discord,-9.99,0.00,EUR,COMPLETED,105.09
CARD_PAYMENT,Current,2025-07-24 06:49:02,2025-07-25 11:03:43,Shop,-13.27,0.00,EUR,COMPLETED,91.82
CARD_PAYMENT,Current,2025-07-26 21:01:17,2025-07-27 03:44:40,Texts,-4.59,0.05,EUR,COMPLETED,87.18
TOPUP,Current,2025-07-28 23:36:34,2025-07-28 23:36:36,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,107.18
TOPUP,Current,2025-07-30 15:52:13,2025-07-30 15:52:14,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,127.18
CARD_PAYMENT,Current,2025-08-01 17:22:55,2025-08-02 12:07:20,Shop,-13.27,0.00,EUR,COMPLETED,113.91
CARD_PAYMENT,Current,2025-08-03 19:54:15,2025-08-04 15:34:20,Online,-13.18,0.13,EUR,COMPLETED,100.60
TOPUP,Current,2025-08-05 17:20:08,2025-08-05 17:20:09,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,120.60
CARD_PAYMENT,Current,2025-08-07 17:20:25,2025-08-09 10:56:22,Groceries,-14.53,0.00,EUR,COMPLETED,106.07
CARD_PAYMENT,Current,2025-08-10 23:55:47,2025-08-11 15:57:40,Texts,-4.72,0.05,EUR,COMPLETED,101.30
